"Disease","Common_Symptoms","Possible_Alternative_Diseases"
"Flu","Fever, cough, sore throat, body aches, fatigue","COVID-19, common cold"
"Asthma","Shortness of breath, wheezing, chest tightness, cough","COPD, bronchitis, pneumonia"
"Sinusitis","Nasal congestion, facial pain or pressure, headache, postnasal drip","Allergic rhinitis, common cold, nasal polyps"
"Migraine","Severe headache, nausea, vomiting, sensitivity to light and sound","Tension headache, cluster headache, sinus headache"
"Common Cold","Runny or stuffy nose, sore throat, cough, sneezing, fatigue","Allergic rhinitis, flu, sinusitis"
"Pneumonia","Fever, chills, cough with phlegm or pus, difficulty breathing, fatigue","Bronchitis, tuberculosis, lung abscess"
"Allergies","Sneezing, runny or stuffy nose, itchy or watery eyes, rash","Anaphylaxis, asthma, sinusitis"
"COVID-19","Fever, cough, shortness of breath, fatigue, loss of taste or smell","Influenza, common cold, pneumonia"
"Tonsillitis","Sore throat, difficulty swallowing, swollen tonsils, fever","Allergic rhinitis, strep throat, mononucleosis"
"Diabetes","Frequent urination, increased thirst, unexplained weight loss, fatigue, blurred vision","Hypothyroidism, hyperthyroidism, Cushing's syndrome"
"Malaria","Fever, chills, sweats, headache, nausea, vomiting, fatigue","Dengue fever, typhoid fever, viral hepatitis"
